iter	Passed	Remaining
0	144	144472
1	146	73203
2	148	49404
3	150	37436
4	152	30282
5	153	25490
6	156	22198
7	158	19630
8	160	17634
9	162	16092
10	164	14774
11	166	13707
12	168	12807
13	170	12033
14	172	11354
15	174	10749
16	176	10214
17	178	9748
18	180	9321
19	182	8945
20	184	8614
21	187	8315
22	188	8020
23	190	7758
24	192	7517
25	194	7297
26	196	7092
27	199	6911
28	201	6731
29	202	6562
30	204	6407
31	207	6262
32	209	6135
33	211	6001
34	213	5875
35	215	5761
36	217	5656
37	219	5557
38	221	5457
39	223	5366
40	225	5273
41	227	5190
42	229	5101
43	230	5018
44	232	4937
45	234	4860
46	235	4783
47	237	4704
48	238	4636
49	240	4568
50	242	4511
51	244	4455
52	246	4403
53	248	4345
54	249	4292
55	251	4238
56	253	4192
57	255	4145
58	257	4104
59	258	4056
60	261	4017
61	262	3976
62	264	3929
63	265	3887
64	267	3846
65	269	3810
66	270	3771
67	271	3722
68	272	3682
69	274	3641
70	275	3605
71	277	3576
72	279	3543
73	280	3507
74	281	3477
75	283	3448
76	284	3415
77	286	3385
78	287	3356
79	289	3328
80	291	3301
81	292	3275
82	293	3246
83	295	3220
84	296	3188
85	297	3160
86	298	3136
87	300	3110
88	301	3088
89	303	3066
90	304	3040
91	306	3020
92	307	3000
93	308	2976
94	310	2957
95	311	2934
96	313	2915
97	315	2901
98	317	2886
99	319	2872
100	321	2857
101	322	2835
102	323	2819
103	325	2805
104	327	2791
105	329	2778
106	330	2762
107	332	2747
108	334	2731
109	335	2717
110	336	2698
111	338	2683
112	339	2668
113	341	2655
114	343	2643
115	345	2629
116	346	2618
117	348	2604
118	349	2587
119	351	2574
120	352	2561
121	354	2548
122	354	2530
123	356	2516
124	357	2502
125	358	2488
126	359	2474
127	360	2456
128	361	2442
129	362	2428
130	364	2415
131	365	2401
132	366	2388
133	367	2375
134	368	2363
135	370	2351
136	371	2339
137	372	2326
138	374	2316
139	375	2305
140	376	2294
141	377	2282
142	378	2270
143	379	2258
144	381	2247
145	382	2235
146	383	2223
147	384	2212
148	385	2202
149	386	2192
150	387	2181
151	389	2171
152	390	2161
153	391	2150
154	392	2140
155	393	2129
156	394	2119
157	395	2108
158	396	2098
159	397	2087
160	398	2077
161	399	2068
162	400	2058
163	402	2049
164	403	2040
165	404	2031
166	405	2023
167	406	2014
168	407	2005
169	408	1996
170	409	1986
171	410	1977
172	411	1968
173	413	1960
174	414	1952
175	415	1946
176	417	1939
177	418	1932
178	419	1926
179	421	1919
180	422	1909
181	423	1902
182	424	1895
183	425	1888
184	427	1881
185	428	1874
186	429	1868
187	431	1862
188	432	1855
189	433	1848
190	434	1842
191	436	1835
192	437	1828
193	438	1822
194	439	1815
195	440	1808
196	441	1801
197	443	1795
198	444	1788
199	445	1782
200	446	1776
201	448	1770
202	449	1764
203	450	1757
204	451	1751
205	452	1745
206	453	1739
207	455	1733
208	456	1726
209	457	1720
210	458	1714
211	459	1708
212	460	1702
213	461	1696
214	463	1690
215	464	1684
216	465	1679
217	466	1673
218	467	1667
219	468	1662
220	469	1656
221	471	1651
222	472	1645
223	473	1640
224	474	1635
225	476	1630
226	477	1625
227	478	1621
228	480	1616
229	481	1611
230	482	1606
231	483	1601
232	484	1596
233	486	1591
234	487	1586
235	488	1581
236	489	1576
237	490	1571
238	492	1566
239	493	1561
240	494	1556
241	495	1552
242	496	1547
243	497	1542
244	499	1537
245	500	1533
246	501	1528
247	502	1524
